name,category,style,price,retailer,image_url,color,product_url
Beverly Dressing Table,dressing table,Best choice to impress a small spaced room with a fine finished mirror table. Drawer with chrome detailed handle will neatly house your beauty products in an organised manner.,32175,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcX-IwRQrmOR5XBxSf2_igl6cPIgvhteXvUvplslX6Vw&s=10,mahogany,
Florence Dressing Table,dressing table,Scratch Resistant Melamine Finish mirror table with small cupboard.,39200,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGFjGg3Fr_6pKDm2s_wVMY91ATJ-MUxOMzm9MhtwbgtQ&s=10,dark brown,
Veyron Island Pantry,pantry cupboards,"Granite top, wooden color 2 cupboards with double side shelves.",180300,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/normal/PCVRGIU002(1).webp,,
Leyon Island Pantry,pantry cupboards,"Dark gray and white, modern, granite top, 2 cupboards with double side shelves.",180300,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/normal/PCLNGIU003(1).webp,,
Venis Chair,dining chair,"Modern upholstered chair with a sleek design and comfortable seating, suitable for contemporary interior spaces.",19100,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQn66NL9ckYkEBC7R4EvwEZx0cR9fNVssZIX2mP6cVNag&s=10,"beige, walnut",
Nevada Chair,dining chair,"Modern chair with a clean, sturdy design and comfortable seating, suitable for dining and contemporary interior spaces.",21600,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlYtMwDT1Zz8mRvlRfv7DyH6xpNq_dcCvAmMdiwEaUZw&s,white,
Pearl Dining Table,dining table,"Elegant dining table with a simple modern design and spacious tabletop, suitable for contemporary dining areas.",34900,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYteUv2JR9fNQ1CscBIW-kiB4JepnYwO30f4WCIR-3og&s=10,black,
Celin Coffee Table,coffee table,"Modern coffee table with a sleek design and compact tabletop, suitable for contemporary living room interiors.",13600,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiS_nVt6jTOVlpPCfz4mDgtHYjbLtdQWi5lPYDTrSCGg&s=10,teak,
KBCE001 - Coffee Table,coffee table,Beautifully rounded wooden color center table with easy to clean scratch resistant surface for a lasting effect.,10575,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLql6sz61pK5wpmnUi0Pi_d17s4OWss-w-BIMRYifqEA&s=10,,
KSS027 - Coffee Table,coffee table,"Modern coffee table with a simple, functional design and spacious tabletop, suitable for contemporary living rooms.",11275,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBCwoT9LHNi5CepsR244rjfJ6RE1bamTR8YoP9B6ZMCw&s=10,dark brown,
Michael Coffee Table,coffee table,Add a distinguished presentation to your lounge with the latest twin coffee table design with sleek contrastive elegance.,43800,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP6uPCB-t_5xqGsGZmCGjozn-q3O9hZlWjqlT-oczvfQ&s,"light oak, silver",
KSS025 - Coffee Table,coffee table,"An aesthetically pleasing center table design that brings a distinctive impression to your lounge. With the sturdy wooden structure, flat base, and shelves, this creation will help to keep your living room well organized.",14175,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPxW-BtpI5De_6By3qfZPr9-UJ6ULM0nloyO6VBBqRjw&s=10,,
KBAV 001 - TV Stand,tv stand,Simplest solution to keep your television in a height of better visibility. Easy to clean scratch resistant surfaces provides durability. The efficiently created shelves will allow you to neatly pile up your DVDs whilst keeping your disk players right in place.,12375,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0sc36wHMjp2nDKuyRuJqTofnJCEf98ObVoT48MZs7sA&s=10,mahogany,
KAV092+KAV093 - TV Stand,tv stand,"Modern, white TV stand with a sleek design, spacious storage, and a clean finish suitable for contemporary living rooms.",39200,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwoeuCiSvCsxJb9JsnBUpWV8IieCKhaL8DIgcxDi0tfw&s,,
Errol TV Stand,tv stand,"A well-crafted storage piece with a clean wooden finish and textured front detailing offers an orderly layout and a calm, well-balanced presence for contemporary living settings.",65900,Damro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZzDns-9goqG2ihjTcOTAC2rVTtYSR_F7jPbBIy3sM3A&s=10,,
Coffee Table - NT,coffee table,Low cost coffee table with high Moisture resistant partical boards.,15099,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/600-600/MF-CT--1--1626772987.jpeg,teak,
Carlo Bedside Cupboard,bedside cupboards,"Compact white bedside cupboard with a clean modern design and practical storage, suitable for contemporary bedrooms.",56599,Softlogic,https://objectstorage.ap-mumbai-1.oraclecloud.com/n/softlogicbicloud/b/cdn/o/products/140-140/MF-CARLO-BSC--1--1678871241.jpeg,,
Computer Table - KCT 015,study desk,"compact computer table with keyboard tray and CPU shelf, light oak finish",10975,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1753783234_KCT015thumb.webp,light oak,https://www.damro.lk/product/computer-table-kct-015-m32
Computer Table - KWT 019,study desk,"computer table with drawers and keyboard tray, dark brown finish",26575,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1761659729_KWT019thumb.webp,dark brown,https://www.damro.lk/product/computer-table-kwt-019-m02
Study Desk - KSD 009,study desk,"study desk with hutch shelves and drawer, 123 x 50 x 120 cm, mahogany finish",33275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740983400_KSD009thumb.webp,mahogany,https://www.damro.lk/product/study-desk-ksd009-m02
Study Desk - KSD 015,study desk,"study desk with hutch shelves and side cupboard, dark brown finish",23675,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KSD015thumb.webp,dark brown,https://www.damro.lk/product/study-desk-ksd015-2
Study Desk - CTSN 002,study desk,"kids study desk with bookshelf and drawers, white, pink finish",41675,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740984072_CTSN002thumb.webp,"white, pink",https://www.damro.lk/product/study-desk-ctsn-002-pink2
Study Desk - CTSN 001,study desk,"kids study desk with hutch and side cupboard, sky blue, white finish",36775,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1770790594_CTSN-001-thumb.webp,"sky blue, white",https://www.damro.lk/product/study-desk-blue-ctsn-001
KWSU 021 - Wall Shelf,wall shelf,"floating wall shelf, dark brown finish",2675,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/(img from page),dark brown,https://www.damro.lk/product/kwsu-021-wall-shelf
KWSU 003 - Wall Shelf,wall shelf,"cube wall shelf, dark brown finish",5275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KWSU003thumb.webp,dark brown,https://www.damro.lk/product/kwsu-003-wall-shelf
KWSU 023 - Wall Shelf,wall shelf,"multi box wall shelf, dark brown finish",5875,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KWSU023thumb.webp,dark brown,https://www.damro.lk/product/kwsu-023-wall-shelf
IHRI242S - (90cm x 150cm),rug,"small plain shaggy rug, beige finish",14990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/IHRI242thumb.webp,beige,https://www.damro.lk/product/ihri242s
IHR090S - (90cm x 150cm),rug,"small shaggy rug, gray finish",14990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1767010140_IHR090S.webp,gray,https://www.damro.lk/product/ihr090s
IHRI229 - (140cm x 200cm),rug,"rug with geometric border, cream, blue, brown finish",33990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/ihri229thumb_vfii8u0r.webp,"cream, blue, brown",https://www.damro.lk/product/ihri229
IHRC292 - (180cm x 230cm),rug,"large plain rug, red finish",29990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/ihrc292thumb_q0qcusuq.webp,red,https://www.damro.lk/product/ihrc292-rugs-1
IHRC290 - (180cm x 230cm),rug,"large plain rug, gray finish",29990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/ihrc290thumb_k8u6zgkb.webp,gray,https://www.damro.lk/product/ihrc290-rugs
IHR147L - (140cm x 200cm),rug,"geometric patterned rug, black, white, gray finish",33990,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/ihr147lthumb_pxpreh8q.webp,"black, white, gray",https://www.damro.lk/product/ihr147l-rugs-1
"Millie Bed (78"" x 60"")",bed,"queen size upholstered bed with tufted headboard, charcoal gray finish",77500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Upholsterybedthumb.webp,charcoal gray,https://www.damro.lk/product/upholstery-bed-1
"Ariyana Bed (78"" x 60"")",bed,"queen size upholstered bed with panelled headboard, beige finish",79200,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1740977900_Upholstery4bedthumb.webp,beige,https://www.damro.lk/product/ariyana-bed-78-x-60-1
"Gracia Bed (78"" x 60"")",bed,"queen size upholstered bed with channel headboard, gray finish",79200,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1739856962_Upholstery5bedthumb.webp,gray,https://www.damro.lk/product/upholstery-bed-bp05-2-1
"Kiara Bed (78"" x 60"")",bed,"queen size upholstered bed with square tufted headboard, black finish",81700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Upholstery6bedthumb.webp,black,https://www.damro.lk/product/upholstery-bed-bp06-2-1
"Kylee Bed (84"" x 72"")",bed,"king size upholstered bed, charcoal gray finish",128500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Kyleebedthumb.webp,charcoal gray,https://www.damro.lk/product/kylee-bed-1
"Kansas Bed (84""x 72"")",bed,"king size upholstered bed with bench, cream finish",147100,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Kansasbedthumb.webp,cream,https://www.damro.lk/product/kansas-bed-1
"Zavino Bed (84"" x 72"")",bed,"king size upholstered bed, tan finish",145100,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Zavinobedthumb.webp,tan,https://www.damro.lk/product/zavino-bed-1-1
Miami Sofa 3+2 (PVC Cloth + Fabric),sofa,"modern sofa set 3+2 seater, teal blue, black finish",81000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/miami32-2026-07-23thumb_nhpb6til.webp,"teal blue, black",https://www.damro.lk/product/miami-sofa-2
Venus Sofa 3+1+1 (PVC Cloth + Fabric),sofa,"modern sofa set 3+1+1, charcoal gray finish",98800,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1761891730_venus.webp,charcoal gray,https://www.damro.lk/product/venus-sofa-eap21
Loranzi Sofa 3+2 (Fabric),sofa,"fabric sofa set 3+2, burgundy finish",101000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/loranzi-sofa-eap22mainnew1_gsj13jkr.webp,burgundy,https://www.damro.lk/product/loranzi-sofa-slz32ea-6
Britoli Sofa 3 Seater (Fabric),sofa,"curved modern 3 seater fabric sofa, gray finish",112000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1770896051_Britoli03THUMB.webp,gray,https://www.damro.lk/product/britoli
Breeze Sofa 3 Seater (Fabric),sofa,"modern 3 seater fabric sofa, blush pink finish",123700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772609308_Breeze.webp,blush pink,https://www.damro.lk/product/breeze-sofa-set
Dahamro Sofa 3+1+1 (PVC Cloth + Fabric),sofa,"sofa set 3+1+1, terracotta finish",93700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/dhamro2026-07-23thumb_cuu5ueim.webp,terracotta,https://www.damro.lk/product/dahamro-sofa-eap01
Montreal Sofa 3+2+1+1 (Fabric),sofa,"luxury fabric sofa set, dark teal finish",321500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1769773876_Monteral.webp,dark teal,https://www.damro.lk/product/montreal-sofa
Olivia Single Seater,armchair,"modern tub accent chair, teal, cream finish",39000,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1751458522_Oliviasingleseater.webp,"teal, cream",https://www.damro.lk/product/olivia-lobby-single-seaters
Eliza Single Seater,armchair,"modern tub accent chair, beige finish",45200,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772294692_1768993004_ELIZA-Preview.webp,beige,https://www.damro.lk/product/eliza-single-seater-1
Luis Single Seater,armchair,"tub accent chair, dark brown finish",39600,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Luislobbythumb.webp,dark brown,https://www.damro.lk/product/luis-single-seater-01
Estilo Lobby Seater,armchair,"fabric accent chair, gray finish",40900,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Estilolobbythumb.webp,gray,https://www.damro.lk/product/estilo-lobby-seater-1
Dillon Recliner Sofa Single Seater,armchair,"single seater recliner, black finish",69975,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/Dillonrecliner.webp,black,https://www.damro.lk/product/dillon-single-seater
Leena Single Seater,armchair,"single seater recliner, teal finish",89300,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1747982780_leena-single-seater.webp,teal,https://www.damro.lk/product/leena-single-seater-1
High Back Chair - OCH 026,office chair,"high back office chair with arm rests, brown finish",21800,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1781163575_OCH-026-br-thumb.webp,brown,https://www.damro.lk/product/high-back-chair-och26-brown
High Back Chair - OCH 014,office chair,"high back office chair, fabric, red finish",29500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1752473313_OCH014thumb.webp,red,https://www.damro.lk/product/high-back-chair-och-014-maroon-1
High Back Chair - OCH 002,office chair,"high back office chair, fabric, blue, black finish",36400,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/OCH002thumb.webp,"blue, black",https://www.damro.lk/product/high-back-chair-och002-fbubl
High Back Chair - OCH 022,office chair,"high back office chair, black finish",38400,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/OCH022thumb.webp,black,https://www.damro.lk/product/high-back-chair-och022rbl
High Back Chair - OCH 043,office chair,"high back mesh office chair, gray finish",38500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1767851228_och043greythumb.webp,gray,https://www.damro.lk/product/high-back-chair-och043-gray-1
High Back Chair - OCH 027,office chair,"high back office chair, navy blue finish",41600,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/OCH027thumb.webp,navy blue,https://www.damro.lk/product/high-back-chair-och027bl
Celin Side Table,side table,"round wooden side table, teak finish",10700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1758686376_celin-side-table-thumb.webp,teak,https://www.damro.lk/product/wctce002-celin-side-table
KSS 026 - Side Table,side table,"round side table with shelves, light oak finish",9275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KSS026thumb.webp,light oak,https://www.damro.lk/product/kss-026-side-table-1
WCTEL002 - Side Table,side table,"square wooden side table, dark brown finish",18300,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/WCTEL002thumb.webp,dark brown,https://www.damro.lk/product/wctel002-side-table
Merida Side Table,side table,"nesting side tables with marble top and chrome frame, black, silver finish",44475,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/TCT021NSABthumb.webp,"black, silver",https://www.damro.lk/product/tct021nsab-merida-side-table
Davis Coffee Table,coffee table,"mid century coffee table with white top and wooden legs, white, teak finish",47100,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1758800016_davis.webp,"white, teak",https://www.damro.lk/product/davis-coffee-table
Aeron Coffee Table,coffee table,"modern coffee table with drawers, white, walnut finish",69500,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772294696_1769078186_Aeron-t.webp,"white, walnut",https://www.damro.lk/product/aeron-coffee-table-1
Carmel Coffee Table,coffee table,"marble top nesting coffee tables, beige, gold finish",51700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/tct039abthumbnew.webp,"beige, gold",https://www.damro.lk/product/tct-039ab-carmel-marble-top-coffee-table
KLC 009 - Cabinet,cabinet,"low storage cabinet with doors and open shelves   [category cabinet], mahogany finish",49275,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/KLC009thumb.webp,mahogany,https://www.damro.lk/product/klc-009-cabinet
Novara Sideboard,sideboard,"modern sideboard with metal legs, charcoal gray, cream finish",93800,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772295424_1768978115_Novara.webp,"charcoal gray, cream",https://www.damro.lk/product/novara-cabinet-1
Cannole Sideboard,sideboard,"modern sideboard with rounded ends, light oak, cream finish",114600,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772295397_1768976344_Cannole.webp,"light oak, cream",https://www.damro.lk/product/cannole-coffee-table-1
Hendric Credenza,sideboard,"modern credenza sideboard, charcoal gray finish",82875,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1767784345_KDC012.webp,charcoal gray,https://www.damro.lk/product/hendric-credenza
Celixo Sideboard,sideboard,"fluted sideboard with gold legs, beige, gold finish",59700,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1772295387_1769061405_wlogo4.webp,"beige, gold",https://www.damro.lk/product/celixo-sideboard-1
Shoe Rack (4 Tray),shoe rack,"plastic 4 tray shoe rack, black finish",2690,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/TR004thumb.webp,black,https://www.damro.lk/product/shoe-rack-4-tray
Shoe Rack - KSR 012,shoe rack,"wooden open shoe rack, mahogany finish",16175,Damro,https://damro-bvaxfpf2bwbjajdp.a01.azurefd.net/web/products/gridThumbnails/1770267610_KSR-012thumb.webp,mahogany,https://www.damro.lk/product/shoe-rack-ksr-012-m02
